T,$\sigma$,V
390.0,735.0,-12244372131.862158
390.0,750.0,-11715847641.476376
390.0,765.0,-11205281670.001726
390.0,780.0,-10712468107.944874
390.0,795.0,-10237164567.831825
390.0,810.0,-9779096328.426476
390.0,825.0,-9337960108.905434
390.0,840.0,-8913427663.62045
390.0,855.0,-8505149187.802565
390.0,870.0,-8112756528.783775
390.0,885.0,-7735866198.846477
390.0,900.0,-7374082187.573075
390.0,915.0,-7026998574.898309
390.0,930.0,-6694201946.154191
390.0,945.0,-6375273612.790312
390.0,960.0,-6069791644.3494425
390.0,975.0,-5777332717.046837
390.0,990.0,-5497473787.064729
405.0,0.0,-58799188870.181114
405.0,15.0,-58761878286.37408
405.0,30.0,-58650446397.34588
405.0,45.0,-58466133919.88291
405.0,60.0,-58210682236.35986
405.0,75.0,-57886214075.176445
405.0,90.0,-57495152603.524506
405.0,105.0,-57040160099.394844
405.0,120.0,-56524088785.524895
405.0,135.0,-55949940047.32933
405.0,150.0,-55320829830.986946
405.0,165.0,-54639958817.353035
405.0,180.0,-53910586422.799545
405.0,195.0,-53136007951.21117
405.0,210.0,-52319534400.118805
405.0,225.0,-51464474543.3734
405.0,240.0,-50574118995.88723
405.0,255.0,-49651726026.96135
405.0,270.0,-48700508930.77692
405.0,285.0,-47723624623.97273
405.0,300.0,-46724164383.49244
405.0,315.0,-45705144000.454254
405.0,330.0,-44669496736.1293
405.0,345.0,-43620066383.65612
405.0,360.0,-42559601407.115234
405.0,375.0,-41490749916.371605
405.0,390.0,-40416055419.48767
405.0,405.0,-39337953297.59352
405.0,420.0,-38258767953.85213
405.0,435.0,-37180710590.97627
405.0,450.0,-36105877575.40515
405.0,465.0,-35036249348.936615
405.0,480.0,-33973689852.69232
405.0,495.0,-32919946428.643368
405.0,510.0,-31876650167.11715
405.0,525.0,-30845316671.443855
405.0,540.0,-29827347210.295807
405.0,555.0,-28824030232.77892
405.0,570.0,-27836543219.58184
405.0,585.0,-26865954848.25673
405.0,600.0,-25913227447.48627
405.0,615.0,-24979219720.872726
405.0,630.0,-24064689716.513622
405.0,645.0,-23170298023.47166
405.0,660.0,-22296611173.321007
405.0,675.0,-21444105226.887535
405.0,690.0,-20613169525.457058
405.0,705.0,-19804110585.959816
405.0,720.0,-19017156118.865902
405.0,735.0,-18252459147.30859
405.0,750.0,-17510102206.507725
405.0,765.0,-16790101600.281414
405.0,780.0,-16092411693.251766
405.0,795.0,-15416929215.522757
405.0,810.0,-14763497557.817156
405.0,825.0,-14131911035.073383
405.0,840.0,-13521919095.9928
405.0,855.0,-12933230458.88695
405.0,870.0,-12365517152.803009
405.0,885.0,-11818418446.285627
405.0,900.0,-11291544646.159273
405.0,915.0,-10784480752.050291
405.0,930.0,-10296789952.16649
405.0,945.0,-9828016950.327543
405.0,960.0,-9377691114.679565
405.0,975.0,-8945329441.734613
405.0,990.0,-8530439330.28171
420.0,0.0,-77660311143.37946
420.0,15.0,-77617133300.86734
420.0,30.0,-77488109009.79485
420.0,45.0,-77274507092.36212
420.0,60.0,-76978115719.72314
420.0,75.0,-76601123011.30624
420.0,90.0,-76146035777.53696
420.0,105.0,-75615618995.4385
420.0,120.0,-75012845041.2206
420.0,135.0,-74340853648.32898
420.0,150.0,-73602916826.1735
420.0,165.0,-72802408761.30305
420.0,180.0,-71942779513.33951
420.0,195.0,-71027531830.49713
420.0,210.0,-70060200588.97273
420.0,225.0,-69044334477.9101
420.0,240.0,-67983479636.7582
420.0,255.0,-66881165010.61986
420.0,270.0,-65740889235.4977
420.0,285.0,-64566108894.828255
420.0,300.0,-63360228018.557365
420.0,315.0,-62126588711.921776
420.0,330.0,-60868462818.44307
420.0,345.0,-59589044534.501816
420.0,360.0,-58291443899.52954
420.0,375.0,-56978681098.7918
420.0,390.0,-55653681517.38028
420.0,405.0,-54319271492.43457
420.0,420.0,-52978174714.43498
420.0,435.0,-51633009231.16878
420.0,450.0,-50286285012.55439
420.0,465.0,-48940402036.84743
420.0,480.0,-47597648860.05148
420.0,495.0,-46260201634.63217
420.0,510.0,-44930123544.420784
420.0,525.0,-43609364623.2263
420.0,540.0,-42299761929.42026
420.0,555.0,-41003040048.07503
420.0,570.0,-39720811894.4526
420.0,585.0,-38454579794.746185
420.0,600.0,-37205736821.187035
